**ЗАГАЛЬНЕ**,,
1048,Термін дії пароля закінчився,"Будь ласка, оновіть пароль"
1049,"Щоб захистити ваш обліковий запис від злому, ми тимчасово заблокували можливість авторизації. Зачекайте {0} хвилин або натисніть ""Забули пароль?""","Будь ласка, зачекайте трохи та спробуйте пізніше"
1050,"Дозволено лише один сеанс. Будь ласка, вийдіть з іншого",Додаткова сесія заблокована
1051,IP-адреса заблокована,Зверніться до адміністратора платформи/облікового запису
1052,Неправильний формат IP або IP-діапазону для [{0}].,"Будь ласка, виправте формат IP"
1053,Підсервіс недоступний: {0},"Існує інфраструктурна проблема. Будь ласка, спробуйте пізніше"
1054,Помилка підсервісу з повідомленням: {0},Виникла помилка на стороні субсервісу
1055,Занадто великий запит,"Будь ласка, зменшіть розмір файлу/запиту"
1056,Очікується електронний лист для авторизації SSO,"Будь ласка, змініть ім'я користувача на електронну пошту у вашому постачальнику ідентифікаційних даних"
1057,Непідтримуваний рівень доступу: {0},Рівень доступу в цьому контексті не підтримується
1058,Спільна категорія може належати тільки до спільної категорії,Спільна категорія може належати тільки до спільної категорії
1059,"uuids' або 'searchParams' повинні бути вказані окремо","Будь ласка, надішліть 'uuids' або 'searchParams'"
1060,"Зображення '{0}' менше мінімального розміру: {1}x{2}","Розмір зображення менший за ліміт для завантаження. Будь ласка, зверніть увагу на мінімальний розмір у коді помилки та спробуйте завантажити файл з більшим розміром."
1061,"Неправильно вказана адреса електронної пошти або пароль. Спробуйте ще раз або натисніть ""Забули пароль?"", щоб скинути його.",Введена адреса електронної пошти або пароль невірні
1062,"Неправильно вказана адреса електронної пошти або пароль. У вас залишилася 1 спроба. Щоб уникнути тимчасового блокування, натисніть ""Забули пароль?""",Введена адреса електронної пошти або пароль невірні
1063,{0},Запит відхилено системою
1064,"Будь ласка, увійдіть за допомогою SSO",Корпоративний користувач не може зареєструватися або увійти за допомогою пароля
1065,Неправильний формат коду,"Будь ласка, надішліть правильний код з електронної пошти"
1066,Поле {0} не може бути порожнім,"Будь ласка, встановіть значення поля"
1068,Непідтримуваний формат {0},Цей формат неможливо обробити
1069,Для спільних поштових скриньок необхідно вказати рівень доступу = спільний,"Перевірте, чи заповнені спільні поштові скриньки"
**КОРИСТУВАЧ/ПРОФІЛЬ**,,
10001,Користувача {0} не знайдено,Користувача із запитуваним UUID не знайдено
10002,Користувача {0} видалено,Користувач був видалений і не може бути використаний
10003,Підтверджуюче повідомлення не дійсне,"Введене підтверджувальне повідомлення не є дійсним. Підтверджувальне повідомлення має бути електронною адресою користувача у верхньому регістрі (наприклад: ""EMAIL@EXAMPLE.COM"")"
10004,Така електронна пошта вже використовується: {0},Користувач з такою електронною поштою вже зареєстрований
10005,Користувач вже активований,Користувач вже активований. Для роботи в системі необхідно авторизуватися
10006,Запрошення для іншого користувача,"Відкритий вміст не належить вашому конкретному користувачеві, увійдіть з іншими обліковими даними, щоб мати змогу переглянути вміст"
10007,Повідомлення користувача {0} не знайдено,Немає повідомлень для поточного користувача
10008,Код підтвердження електронної пошти не знайдено або закінчився термін дії,Не знайдено або закінчився термін дії коду підтвердження електронної пошти. Перевірте правильність введеного коду або надішліть новий.
10009,Код запрошення не знайдено або минув термін дії,Код запрошення не знайдено або термін дії запрошення закінчився. Перевірте правильність введеного коду або попросіть надіслати новий.
10010,"Термін дії вашого запрошення закінчився, будь ласка, підтвердіть реєстрацію",Термін дії коду запрошення закінчився. Спробуйте зареєструватися звичайним способом та підтвердити електронну пошту.
10011,Запрошення не знайдено або термін дії запрошення закінчився,Запрошення для поточного користувача не існує або закінчився термін дії
10012,Email запрошення порожній,"Неможливо створити запрошення через порожнє поле обов'язкової електронної пошти"
10013,Обліковий запис не надано для оновлення,"У запиті пропущений параметр облікового запису. Будь ласка, перевірте свій запит, порівняйте з документацією та надішліть ще раз"
10014,Не надано дозволів на оновлення,"У запиті відсутній перелік дозволів. Будь ласка, перевірте свій запит, звірте з документацією та надішліть повторно"
10015,"Використовується невірна роль '{0}'","Роль невірна для поточного запиту, будь ласка, перевірте, що введений UUID ролі існує"
10017,"Колір '{0}' має неправильний формат","Невірний формат кольору у запиті. Будь ласка, використовуйте формат кольору #FFFFFF"
10018,Користувач вже заблокований,Користувача вже заблоковано
10019,Невірна дата ISO: {0},"Формат дати неправильний, будь ласка, використовуйте формат дати ISO 8601"
10020,Вже запрошені,"Цей користувач вже запрошений до цього об'єкта"
10021,Корпоративний користувач не може себе видалити,Видалити корпоративного користувача може тільки адміністратор облікового запису
10022,Корпоративний користувач не може створити новий обліковий запис,За обліковим записом вже закріплений корпоративний користувач і його неможливо змінити
10023,Користувач {0} не є корпоративним,Поточна дія може бути застосована тільки для корпоративного користувача
10024,"Користувач '{0}' вже має доступ до облікового запису/поштової скриньки","Даний користувач вже має доступ до цих об'єктів"
10025,Неправильний пароль,"Старий пароль невірний. Будь ласка, перевірте правильність введеного пароля"
10026,Користувач неактивний,Користувач ще не підтвердив електронну пошту
10027,Користувач {0} є корпоративним,Поточна дія може бути застосована тільки для не корпоративного користувача
10028,Для рахунку компанії необхідно вказати ІПН,"Будь ласка, додайте відсутні властивості до запиту"
10029,Невірний номер телефону,Номер телефону повинен бути в міжнародному форматі
10030,Ця кінцева точка може бути виконана тільки для користувача з простроченим паролем,"Активний користувач має використовувати іншу кінцеву точку, перевірте документацію"
10031,Користувач вже існує,Електронна пошта вже зареєстрована в системі
10032,Користувача заблоковано,Попросіть свого системного адміністратора розблокувати
10033,Термін дії запису перевірки минув,"Будь ласка, повторіть операцію"
**ОБЛІКОВИЙ ЗАПИС**,,
20001,Обліковий запис {0} не знайдено,"Обліковий запис з введеним UUID не знайдено. Будь ласка, перевірте дані запиту"
20002,Обліковий запис {0} видалено,Обліковий запис із введеним UUID рахунку видалено
20004,Дозволяється використовувати тільки одну поштову скриньку,В даному запиті допускається вказати тільки одну поштову скриньку
20005,Роль немає облікового запису,"UUID облікового запису є необхідним параметром у запиті. Будь ласка, введіть дійсний UUID облікового запису для створення ролі"
20006,Роль {0} не знайдено,"Роль із зазначеним UUID у запиті не знайдено. Будь ласка, перевірте дані запиту"
20007,Роль з такою назвою вже існує,"Роль з такою назвою вже існує. Будь ласка, введіть нову назву або видаліть існуючу роль"
20008,Не знайдено даних про права доступу до ролей,"У цьому запиті необхідні дані про права доступу до ролей. Будь ласка, перевірте дані запиту, звірте їх з документацією та надішліть повторно"
20009,Тип ролі не знайдено,"У запиті невірно вказано тип ролі. Підтримувані типи ролей: Обліковий запис, Поштова скринька та Система. Будь ласка, перевірте дані запиту, звірте їх з документацією і відправте повторно"
20010,Непідтримуваний набір дозволів,"У запиті невірно вказані дозволи. Будь ласка, перевірте дані запиту, звірте їх з документацією та надішліть повторно"
20011,"Батьківська категорія не повинна мати рівень доступу вище, ніж підлеглий","Батьківська категорія не повинна мати рівень доступу вище, ніж підлеглий"
20012,"Рахунок '{0}' не має інших власників",Обліковий запис з введеним UUID не має інших власників. Додайте принаймні ще одного власника облікового запису і повторіть дію ще раз
20013,"Доменне ім'я облікового запису не знайдено","Ім'я домену облікового запису порожнє в тілі запиту на створення домену"
20014,Розмір доменного імені облікового запису перевищив максимальний розмір 256,"Ім'я домену облікового запису перевищує максимально допустимий розмір (256 символів) в тілі запиту на створення домену"
20015,"Не вдається вирішити домен '{0}'","Домен не може бути дозволений до IP. Можливо, він не існує"
20016,"Неможливо використовувати домен '{0}'",Домен вже верифікований і використовується іншим обліковим записом або вже доданий до поточного облікового запису
20017,"Домен '{0}' не знайдено",Домен не знайдено в базі даних по домену domainUuid
20018,Невідомий метод перевірки домену,При виконанні запиту на перевірку домену в тілі запиту не знайдено метод перевірки домену
20019,Домен вже перевірений,Домен вже верифікований і інформація про верифікацію не може бути змінена
20020,Активувати можна тільки НЕАКТИВНІ домени,Неможливо активувати неперевірений або вже активований домен
20021,Деактивувати можна тільки АКТИВНІ домени,Неможливо деактивувати неперевірений або вже деактивований домен
20022,Закінчився термін перевірки домену,"Термін дії перевірки домену закінчився. Будь ласка, використовуйте метод підтвердження для поновлення верифікації"
20023,Інформація про домен не знайдена,Інформація про перевірку домену не знайдена при підтвердженні або перевірці домену
20024,"Домен '{0}' вже верифікований іншим обліковим записом","Домен пройшов верифікацію, але він вже був доданий і верифікований іншим обліковим записом."
20025,Домен та обліковий запис не збігаються,"Ви намагаєтеся отримати доступ до домену, який не належить поточному обліковому запису"
20026,"Політика користувача для облікового запису повинна бути жорсткішою, ніж глобальна.","Будь ласка, перевірте глобальні політики користувача /api/v1/settings"
20027,"Домен '{0}' має бути перевірений та активний",Домен не активний при створенні корпоративного користувача
20028,Конфлікт дозволів на запрошення,"Користувач вже мав доступ до об'єкту і його більше не можна запросити до цього об'єкту"
20029,Ролі та дозволи запрошень порожні,"У запиті відсутні ролі або дозволи. Будь ласка, перевірте свій запит, звірте з документацією та надішліть повторно"
20030,"Аккаунт '{0}' не має підтверджених доменів",Акаунт не має підтверджених доменів
20031,Помилка під час генерації XLSX,Помилка формування файлу XLSX
20032,Лист користувача не знайдено,Корпоративний імпортований файл excel не має аркуша з користувачами
20033,Дублікат користувача {0},Дубльована електронна адреса користувача у файлі імпорту корпоративних користувачів
20034,Неправильний uuid облікового запису {0} в таблиці користувачів облікового запису,Неправильний uuid облікового запису знайдено в таблиці користувачів облікового запису
20035,Клітинка A1 не знайдена в таблиці користувачів облікового запису,Клітинку A1 не знайдено на аркуші користувачів облікового запису
20036,Поштова скринька {0} не належить обліковому запису або не існує,Поштова скринька не належить обліковому запису або не існує
20037,Знайдено дубльований лист поштової скриньки {0},"Знайдено більше одного аркуша з однаковим UUID поштової скриньки, хоча має бути лише один"
20038,Клітинку A1 не знайдено на аркуші користувачів поштової скриньки,Клітинку A1 не знайдено на аркуші користувачів поштової скриньки
20039,Невизначеного користувача {0} знайдено,"Знайдено електронну адресу користувача, яка не вказана на аркуші користувача"
20040,Помилка переліку ролей для користувача {0},Вказана роль (ролі) не існує або належить іншому обліковому запису
20041,Помилка дозволів у списку для користувача {0},Перелічені дозволи не існують
20042,Не вдається відкрити файл як електронну таблицю,Завантажений файл не є коректним XLSX файлом
20043,"Роль {0} не може бути видалена, оскільки вона призначена користувачам або запрошенням",Роль використовується і призначається користувачам або запрошенням
20044,Сума літер різних типів не може бути більшою за максимальну довжину,"Будь ласка, оновіть політику паролів з коректними значеннями"
20045,Користувач не належить до облікового запису,Зазначений користувач(користувачі) належить до іншого облікового запису
20046,"SSO Identity Provider '{0}' не знайдено",Постачальник ідентифікаційних даних SSO відсутній в базі даних
20047,Метадані URL або XML повинні бути вказані окремо,"Будь ласка, введіть тільки URL або XML"
20048,Помилка завантаження/розбору метаданих,"Метадані неможливо завантажити або проаналізувати без помилки. Будь ласка, перевірте URL або XML"
20049,IdP та обліковий запис не збігаються,"Ви намагаєтеся отримати доступ до IdP, який не належить поточному обліковому запису"
20050,Домен не існує або не активний,"Будь ласка, активуйте домен"
20051,"SSO Identity Provider не знайдено для домену '{0}'","Для домену не знайдено SSO Identity Provider. Будь ласка, встановіть IdP"
20052,"SSO Identity Provider '{0}' використовується для домену і не може бути видалений","Скасуйте призначення IdP. Провайдер SSO Identity Provider використовується для домену, і його неможливо видалити."
20053,"SSO Identity Provider '{0}' має бути унікальним у системі",Перевірте метадані. SSO Identity Provider має бути унікальним у системі
20054,Назва вулиці має містити від 1 до 200 символів,Назва вулиці має містити від 1 до 200 символів
20055,Назва міста має містити від 1 до 200 символів,Назва міста має містити від 1 до 200 символів
20056,Назва регіону має містити від 1 до 200 символів,Назва регіону має містити від 1 до 200 символів
20057,Назва країни має містити від 1 до 100 символів,Назва країни має містити від 1 до 100 символів
20058,Поштовий індекс має містити від 1 до 10 символів,Поштовий індекс має містити від 1 до 10 символів
20059,Відформатована адреса має містити від 1 до 300 символів,Відформатована адреса має містити від 1 до 300 символів
20060,Платіжну адресу облікового запису не знайдено,"Платіжну адресу облікового запису не знайдено, будь ласка, створіть нову"
**ПОШТОВА СКРИНЬКА (МЕЙЛБОКС)**,,
30001,Поштова скринька {0} не знайдена,Введена поштова скринька не знайдена в системі
30002,Поштова скринька {0} видалена,"Поштова скринька була видалена. Будь ласка, використовуйте активну поштову скриньку."
30003,"Ім'я поштової скриньки не може бути порожнім","Ім'я поштової скриньки не повинно бути порожнім. Воно повинно містити хоча б один символ"
30004,Довжина імені поштової скриньки перевищує 256,Довжина імені скриньки не може перевищувати 256 символів
30005,Псевдонім поштової скриньки не може бути порожнім,Псевдонім поштової скриньки не повинен бути порожнім. Він повинен містити не менше 3 символів
30006,Перевищено максимальний розмір псевдоніма поштової скриньки,Довжина псевдоніма поштової скриньки не може перевищувати 256 символів
30007,Псевдонім не знайдено або приєднано до іншої поштової скриньки,"Псевдонім, який ви намагалися видалити, не знайдено або пов'язаний з іншою поштовою скринькою"
30008,Категорія {0} не знайдено,Категорія з введеним вами UUID не існує або не знайдена
30010,Категорія {0} не знайдена,Категорія з введеним вами ID не існує або не знайдена
30011,Невірне значення parentId,Ідентифікатор батьківської категорії не дійсний
30012,Псевдонім вже існує,Псевдонім з введеним іменем вже існує
30013,Порожній ідентифікатор категорії,"Ідентифікатор категорії в запиті порожній. Будь ласка, введіть необхідний параметр"
30014,Неможливо змінити категорію доступу на офіційну,Змінити доступ до категорії на офіційний неможливо. Офіційні категорії може створювати тільки користувач системи.
30015,Категорія вже існує,Категорія з введеним ідентифікатором вже існує
30016,Поштова скринька {0} не належить до облікового запису,"Поштова скринька не належить цьому обліковому запису. Перевірте свій запит і переконайтеся, що поштова скринька, яку ви хочете запросити, належить до облікового запису"
30017,Поштова скринька {0} не має інших власників,Поштова скринька немає іншого власника і не може бути залишена
30018,Поштова скринька відправника не знайдена,"Поштова скринька UUID відправника не знайдена, перевірте коректність запиту"
30019,UUID поштової скриньки порожній,UUID поштової скриньки не може бути порожнім
30020,UUID поштової скриньки недійсний або порожній,"UUID поштової скриньки невірний або порожній. Будь ласка, надішліть коректний запит з коректним UUID поштової скриньки"
30021,Для псевдоніму заборонена електронна пошта,"Будь ласка, не використовуйте електронну пошту як псевдонім, щоб уникнути непорозумінь"
**ШАБЛОН**,,
40001,Документ {0} не знайдено,"Документ з введеним ідентифікатором не знайдено. Будь ласка, перевірте правильність введеного ідентифікатора"
40002,Шаблон {0} заархівовано,Шаблон з введеним ID архівується. Використовувати заархівовані шаблони не можна.
40003,Шаблон {0} не знайдено,"Шаблон з введеним UUID не знайдено. Будь ласка, перевірте правильність введеного UUID"
40004,Дані шаблону {0} не знайдено,"Дані шаблону не знайдено в сховищі. Будь ласка, перевірте Ваш запит, звірте з документацією та надішліть повторно"
40005,Дані шаблону {0} не знайдено,"Дані шаблону не знайдено в сховищі. Будь ласка, перевірте свій запит, порівняйте з документацією та надішліть ще раз"
40006,"Шаблон повинен мати рівень доступу, що дорівнює або перевищує рівень доступу категорії",Рівень доступу до шаблону має бути рівним або вищим за рівень доступу категорії
40009,"Повинні мати інші ролі, крім відправника","Шаблон повинен мати хоча б одну іншу роль, крім відправника"
40010,Повинен бути тільки 1 відправник,Шаблон має містити лише одну роль із типом Відправник
40011,Першу роль має відігравати відправник,Першу роль у потоці шаблонів має відігравати відправник
40012,Повинно бути мінімум 2 ролі,"Шаблон повинен мати щонайменше дві ролі, одна з яких є обов'язковою для відправника, а інша - для одержувача або підписанта"
40013,"Роль '{0}' не має призначених полів","Роль в шаблоні не має призначених полів. Будь ласка, додайте поля з призначеними для цієї ролі або зробіть цю роль копією"
40014,Повідомлення повинно бути раніше закінчення терміну дії,"Якщо термін дії конверта закінчується через 3 дні, ми не можемо повідомити на 5-й день. Установіть expire.notifyIn < expire.after"
40015,Ролі підписантів без підписів: {0},Роль підписувача не має пов’язаного з ним поля підпису в шаблоні. Додайте або видаліть роль підписувача
40016,Наступні поля призначені для неіснуючих ролей: {0},"Поля призначені неіснуючим ролям. Будь ласка, перепризначте поля існуючим ролям або видаліть їх"
40017,Наступні ролі не мають призначених полів: {0},"Роль з певним ID не має призначених полів у документах. Будь ласка, додайте поля, видаліть ролі або встановіть роль як копію"
40018,"Помилка перевірки шаблону при пошуку документа '{0}' в документі '{1}'. Пов'язане поле '{2}' не знайдено в полях документа","Поле пошуку не має пов'язаного з ним поля словника в документі. Будь ласка, додайте поле словника до документа або видаліть поле пошуку"
40019,"Помилка перевірки шаблону в документі '{0}' при пошуку '{1}'. Пов'язане поле не може бути використано як джерело пошуку",Поле пошуку не має відповідного джерела в словнику. Перевірте доступність словника/словникової статті або видаліть поле пошуку
40020,Дубльовані ідентифікатори документів: {0},Ідентифікатори документів дублюються в шаблоні. Ідентифікатори документів повинні бути унікальними всередині шаблону
40021,Повторювані назви документів: {0},Назви документів дублюються в шаблоні. Назви документів повинні бути унікальними всередині шаблону
40022,"Поле '{0}' має min значення > max значення",Введені значення мінімального значення більше максимального. Неможливо задати такі параметри для поля.
40023,"Поле '{0}' має значення точності більше допустимого {1}","Введене значення точності для поля більше, ніж дозволено для даного типу поля"
40025,Шаблон {0} вже видалено,Template був видалений і міг бути використаний для створення конвертів
40026,Порожні дані шаблону,"Параметр даних шаблону порожній. Будь ласка, використовуйте дійсну структуру запиту"
40029,"Принаймні одне необов'язкове поле в таблиці '{0}'","Принаймні одне поле таблиці має бути необов’язковим, а також це поле має бути призначено власнику таблиці"
40030,"Динамічний заголовок таблиці не знайдено. Ім'я таблиці: {0}",Структура таблиці не є правильною. Таблиця повинна містити заголовок.
40031,"Динамічний рядок заголовка таблиці не знайдено. Ім'я таблиці: {0}",Структура таблиці неправильна. Таблиця повинна містити лише один головний рядок.
40032,"Динамічний заголовок таблиці рядків стовпців не знайдено. Ім'я таблиці: {0}",Структура таблиці не є правильною. У структурі таблиці повинні бути стовпці.
40033,"Динамічна таблиця всередині іншої таблиці заборонена. Ім'я батьківської таблиці: {0}",Неможливо мати динамічну таблицю всередині іншої динамічної таблиці
40034,"Динамічне тіло таблиці не знайдено. Ім'я таблиці: {0}",Структура таблиці не є правильною. Таблиця повинна містити тіло.
40035,Заборонений атрибут стилю: {0},Атрибут таблиці заборонений. Допустимі атрибути для таблиці: margin
40036,"Поле '{0}' присвоєно не тій ролі","Поле, назначенное роли, которая не может заполнять данные. Ограниченные роли: Подписант и Копия."
40037,"Помилка перевірки шаблону в документі поле '{0}' має неправильне ім'я: '{1}'","Поля в шаблоні не повинні містити пробілів або спеціальних символів. Будь ласка, використовуйте такі імена, як name, name1, name_1"
40038,Рядків не знайдено,Таблиця повинна містити як мінімум 1 рядок
40039,"Підпис призначено ролі, що не має права підпису {0}","Поле підпису призначено ролі, яка відрізняється від підписанта, будь ласка, перепризначте поле або видаліть поле підпису"
40040,"Дублюється ім'я підписувача в документі {0}",Назви полів підпису дублюються. Документ повинен мати унікальні назви полів
40041,"Відсутній розділ інформації про документ, ідентифікатор документа: {0}","Структура даних шаблону невірна. Будь ласка, додайте інформаційні розділи до структури документа"
40042,Занадто багато підписів на одну роль {0},Роль підписувача може мати одне поле для підпису на один документ.
40043,Занадто багато полів у документі,Зовнішній документ може містити тільки одне поле вкладення
40044,"Неочікуваний тип поля '{0}'","Тип поля, що вводиться, не підтримується. Підтримувані типи полів: текст, число, гроші, дата, час, вибір-словник, так, ні, вкладення"
40045,Неочікуваний вміст тіла документа: {0},"Для зовнішнього документа допускається тільки один тип поля ""вкладення"""
40046,"Ім'я динамічної таблиці не знайдено","Не вказано ім'я динамічної таблиці"
40047,Динамічна таблиця roleId не знайдено,Поле таблиці не має призначеної ролі
40048,Шаблон не має підписів,"Документи в шаблоні не мають поля підписів, але мають роль підписувача. Додайте поля для підписів або видаліть роль підписувача та повторіть спробу"
40049,Підпис за ідентифікатором ролі не знайдено,Поле підпису не має ролі з UUID відповідної ролі. Додайте роль підписувача або видаліть поле підпису та повторіть спробу
40050,Не вдається змінити шаблон доступу до офіційного сайту,Не вдалося змінити рівень доступу до шаблону на офіційний. Змінити рівень доступу до офіційного може тільки користувач системи
40051,Шаблон {0} невідповідність версії {1},"Шаблон UUID і версія шаблону не збігаються. Будь ласка, перевірте правильність версії шаблону та вмісту шаблону"
40052,Роль шаблону {0} не знайдено,Шаблон не має ролі з цим UUID
40053,У підписі шаблону «{0}» повинні бути заповнені обидва поля ITN,"Будь ласка, заповніть як itnDocumentId, так і itnFieldName або жодного з них"
40054,"Поле ІПН '{0}' не знайдено для підпису '{1}'","Переконайтеся, що документ має правильне поле ІПН, призначене для підпису"
40055,"Поле ІПН '{0}' має неправильний тип або місце в документі","Перевірте, що поле ІПН є одним з (текстове поле, пошук, вибірка-словник), не є необов'язковим, відсутнє в таблиці"
40056,Немає доступу до шаблону {0},Шаблон не має ролі з UUID
40057,Батьківський елемент повторюваного поля {0} не знайдено,Дублікат поля не має батьківського поля в шаблоні
40058,Властивість «relatedTo» не може бути порожньою для поля «Дублікат».,Заповніть властивість належним значенням
40059,Непідтримуваний тип {0} батьківського поля для дублікату {1},Цей тип не допускається для дублікатів батьківських полів
40060,Відсутній порядок ролі,"Ролі не заданий порядок, тоді як порядок має бути встановлений вручну"
40061,Всі ролі в однаковому порядку,Всі ролі в однаковому порядку в потоці шаблонів
40062,Роль {0} слід замовляти після {1}.,Налаштовано неправильний порядок ролей потоку шаблону
40065,"Ім'я поля, що дублюється: {0}",Дублюється назва поля
40066,Категорія або одна з підкатегорій не порожня,У категорії або одній з її підкатегорій є активний шаблон
40067,Неможливо перейти до цієї категорії,"Неможливо перемістити категорію в категорію, яку ви збираєтеся видалити"
